route,url,type,title,canonical,robots,jsonLdCount,h1,words,minimumWords
"/situations/employer-not-paying","https://mypayrights.com/situations/employer-not-paying","situation","Employer Not Paying You? Here's What to Do — UK 2026 · My Pay Rights","https://mypayrights.com/situations/employer-not-paying","index, follow","3","Employer not paying you? Here's what to do","1566","180"
"/situations/constructive-dismissal-uk","https://mypayrights.com/situations/constructive-dismissal-uk","situation","Constructive Dismissal UK: Step-by-Step Guide 2026 · My Pay Rights","https://mypayrights.com/situations/constructive-dismissal-uk","index, follow","3","Constructive dismissal UK: step-by-step guide","1175","180"
"/situations/sacked-while-pregnant-uk","https://mypayrights.com/situations/sacked-while-pregnant-uk","situation","Sacked While Pregnant UK: Your Rights & What to Do 2026 · My Pay Rights","https://mypayrights.com/situations/sacked-while-pregnant-uk","index, follow","2","Sacked while pregnant UK: your rights explained","1062","180"
"/situations/employer-gone-bust","https://mypayrights.com/situations/employer-gone-bust","situation","Employer Gone Bust UK: What You're Owed & How to Claim 2026 · My Pay Rights","https://mypayrights.com/situations/employer-gone-bust","index, follow","2","Employer gone bust: what you're owed and how to claim","1044","180"
"/situations/workplace-discrimination-uk","https://mypayrights.com/situations/workplace-discrimination-uk","situation","Workplace Discrimination UK: Know Your Rights 2026 · My Pay Rights","https://mypayrights.com/situations/workplace-discrimination-uk","index, follow","2","Workplace discrimination UK: your rights under the Equality Act 2010","983","180"
"/situations/us-wrongful-termination","https://mypayrights.com/situations/us-wrongful-termination","situation","US Wrongful Termination: Know Your Rights 2026 · My Pay Rights","https://mypayrights.com/situations/us-wrongful-termination","index, follow","2","US wrongful termination: your legal protections","976","180"
"/fr","https://mypayrights.com/fr","fr","Calculateurs de droits au travail — Canada (Québec) · My Pay Rights","https://mypayrights.com/fr","index, follow","3","Calculateurs de droits au travail","466","150"
"/fr/ca/indemnite-de-depart","https://mypayrights.com/fr/ca/indemnite-de-depart","fr","Calculateur d'indemnité de départ — Québec et Canada 2026 · My Pay Rights","https://mypayrights.com/fr/ca/indemnite-de-depart","index, follow","2","Indemnité de départ — Québec et Canada 2026","732","180"
"/fr/ca/preavis","https://mypayrights.com/fr/ca/preavis","fr","Calculateur de préavis de licenciement — Québec 2026 · My Pay Rights","https://mypayrights.com/fr/ca/preavis","index, follow","2","Préavis de licenciement au Québec 2026","458","180"
"/fr/ca/paie-de-vacances","https://mypayrights.com/fr/ca/paie-de-vacances","fr","Calculateur de paie de vacances — Québec 2026 · My Pay Rights","https://mypayrights.com/fr/ca/paie-de-vacances","index, follow","2","Paie de vacances au Québec 2026","471","180"
"/tupe-wizard","https://mypayrights.com/tupe-wizard","tool","Does TUPE Apply to Me? Free UK TUPE Checker 2026 · My Pay Rights","https://mypayrights.com/tupe-wizard","index, follow","2","Does TUPE apply to me?","410","180"
"/blog","https://mypayrights.com/blog","core","Employment Law News — Pay Rights & Workplace Law Updates · My Pay Rights","https://mypayrights.com/blog","index, follow","2","News that helps people understand pay rights.","821","150"
"/methodology","https://mypayrights.com/methodology","core","Data Methodology — How We Source & Verify Employment Law Rates · My Pay Rights","https://mypayrights.com/methodology","index, follow","1","Data methodology","977","140"
